2020-04-26 11:09:54,452 IMLMDVABHISHEKPA INFO  main motka.abhishek.auditor.AuditorApplication - Starting AuditorApplication on IMLMDVABHISHEKPA with PID 14699 (/Users/abhishek.pa/work/auditor/target/classes started by abhishek.pa in /Users/abhishek.pa/work/auditor)
2020-04-26 11:09:54,468 IMLMDVABHISHEKPA INFO  main motka.abhishek.auditor.AuditorApplication - No active profile set, falling back to default profiles: default
2020-04-26 11:09:54,839 IMLMDVABHISHEKPA INFO  main motka.abhishek.auditor.AuditorApplication - Started AuditorApplication in 0.866 seconds (JVM running for 1.478)
2020-04-26 11:10:16,545 IMLMDVABHISHEKPA INFO  main motka.abhishek.auditor.AuditorApplication - Starting AuditorApplication on IMLMDVABHISHEKPA with PID 14787 (/Users/abhishek.pa/work/auditor/target/classes started by abhishek.pa in /Users/abhishek.pa/work/auditor)
2020-04-26 11:10:16,548 IMLMDVABHISHEKPA INFO  main motka.abhishek.auditor.AuditorApplication - No active profile set, falling back to default profiles: default
2020-04-26 11:10:16,957 IMLMDVABHISHEKPA INFO  main motka.abhishek.auditor.AuditorApplication - Started AuditorApplication in 0.954 seconds (JVM running for 1.823)
2020-04-26 11:10:16,968 IMLMDVABHISHEKPA INFO  main motka.abhishek.auditor.aspects.AuditAspect - motka.abhishek.auditor.TestObject.print
Argument: motka.abhishek.auditor.Modal@73cd37c0[hello=0,valid=true,world=1]

2020-04-26 11:10:23,014 IMLMDVABHISHEKPA INFO  main motka.abhishek.auditor.AuditorApplication - Starting AuditorApplication on IMLMDVABHISHEKPA with PID 14795 (/Users/abhishek.pa/work/auditor/target/classes started by abhishek.pa in /Users/abhishek.pa/work/auditor)
2020-04-26 11:10:23,016 IMLMDVABHISHEKPA INFO  main motka.abhishek.auditor.AuditorApplication - No active profile set, falling back to default profiles: default
2020-04-26 11:10:23,372 IMLMDVABHISHEKPA INFO  main motka.abhishek.auditor.AuditorApplication - Started AuditorApplication in 0.598 seconds (JVM running for 1.109)
2020-04-26 11:10:23,381 IMLMDVABHISHEKPA INFO  main motka.abhishek.auditor.aspects.AuditAspect - motka.abhishek.auditor.TestObject.print
Argument: motka.abhishek.auditor.Modal@49ff7d8c[hello=0,valid=true,world=1]

2020-04-26 11:12:19,879 IMLMDVABHISHEKPA INFO  main motka.abhishek.auditor.AuditorApplicationTests - Starting AuditorApplicationTests on IMLMDVABHISHEKPA with PID 15231 (started by abhishek.pa in /Users/abhishek.pa/work/auditor)
2020-04-26 11:12:19,880 IMLMDVABHISHEKPA INFO  main motka.abhishek.auditor.AuditorApplicationTests - No active profile set, falling back to default profiles: default
2020-04-26 11:12:20,305 IMLMDVABHISHEKPA INFO  main motka.abhishek.auditor.AuditorApplicationTests - Started AuditorApplicationTests in 0.719 seconds (JVM running for 1.412)
2020-04-26 11:26:46,896 IMLMDVABHISHEKPA INFO  main motka.abhishek.auditor.AuditorApplication - Starting AuditorApplication on IMLMDVABHISHEKPA with PID 15415 (/Users/abhishek.pa/work/auditor/target/classes started by abhishek.pa in /Users/abhishek.pa/work/auditor)
2020-04-26 11:26:46,899 IMLMDVABHISHEKPA INFO  main motka.abhishek.auditor.AuditorApplication - No active profile set, falling back to default profiles: default
2020-04-26 11:26:47,282 IMLMDVABHISHEKPA INFO  main motka.abhishek.auditor.AuditorApplication - Started AuditorApplication in 0.856 seconds (JVM running for 1.497)
2020-04-26 11:27:07,617 IMLMDVABHISHEKPA INFO  main motka.abhishek.auditor.AuditorApplication - Starting AuditorApplication on IMLMDVABHISHEKPA with PID 15504 (/Users/abhishek.pa/work/auditor/target/classes started by abhishek.pa in /Users/abhishek.pa/work/auditor)
2020-04-26 11:27:07,619 IMLMDVABHISHEKPA INFO  main motka.abhishek.auditor.AuditorApplication - No active profile set, falling back to default profiles: default
2020-04-26 11:27:07,967 IMLMDVABHISHEKPA INFO  main motka.abhishek.auditor.AuditorApplication - Started AuditorApplication in 0.799 seconds (JVM running for 1.597)
2020-04-26 11:27:07,977 IMLMDVABHISHEKPA INFO  main motka.abhishek.auditor.aspects.AuditAspect - motka.abhishek.auditor.TestObject.print
Argument: motka.abhishek.auditor.Modal@45312be2[hello=0,valid=true,world=1]

2020-04-26 11:33:01,848 IMLMDVABHISHEKPA INFO  main motka.abhishek.auditor.AuditorApplicationTests - Starting AuditorApplicationTests on IMLMDVABHISHEKPA with PID 15771 (started by abhishek.pa in /Users/abhishek.pa/work/auditor)
2020-04-26 11:33:01,849 IMLMDVABHISHEKPA INFO  main motka.abhishek.auditor.AuditorApplicationTests - No active profile set, falling back to default profiles: default
2020-04-26 11:33:02,188 IMLMDVABHISHEKPA INFO  main motka.abhishek.auditor.AuditorApplicationTests - Started AuditorApplicationTests in 0.564 seconds (JVM running for 1.239)
2020-04-26 11:34:40,546 IMLMDVABHISHEKPA INFO  main motka.abhishek.auditor.AuditorApplication - Starting AuditorApplication on IMLMDVABHISHEKPA with PID 15800 (/Users/abhishek.pa/work/auditor/target/classes started by abhishek.pa in /Users/abhishek.pa/work/auditor)
2020-04-26 11:34:40,552 IMLMDVABHISHEKPA INFO  main motka.abhishek.auditor.AuditorApplication - No active profile set, falling back to default profiles: default
2020-04-26 11:34:41,068 IMLMDVABHISHEKPA INFO  main motka.abhishek.auditor.AuditorApplication - Started AuditorApplication in 0.965 seconds (JVM running for 1.622)
2020-04-26 11:35:08,224 IMLMDVABHISHEKPA INFO  main motka.abhishek.auditor.AuditorApplication - Starting AuditorApplication on IMLMDVABHISHEKPA with PID 15831 (/Users/abhishek.pa/work/auditor/target/classes started by abhishek.pa in /Users/abhishek.pa/work/auditor)
2020-04-26 11:35:08,227 IMLMDVABHISHEKPA INFO  main motka.abhishek.auditor.AuditorApplication - No active profile set, falling back to default profiles: default
2020-04-26 11:35:08,692 IMLMDVABHISHEKPA INFO  main motka.abhishek.auditor.AuditorApplication - Started AuditorApplication in 0.769 seconds (JVM running for 1.268)
2020-04-26 11:35:08,702 IMLMDVABHISHEKPA INFO  main motka.abhishek.auditor.aspects.AuditAspect - motka.abhishek.auditor.TestObject.print
Argument: motka.abhishek.auditor.Modal@77128536[hello=0,valid=true,world=1]

2020-04-26 11:35:21,945 IMLMDVABHISHEKPA INFO  main motka.abhishek.auditor.AuditorApplicationTests - Starting AuditorApplicationTests on IMLMDVABHISHEKPA with PID 15847 (started by abhishek.pa in /Users/abhishek.pa/work/auditor)
